# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20120101,  129
  260,20120102,  103
  260,20120103,  107
  260,20120104,   86
  260,20120105,  102
  260,20120106,   88
  260,20120107,   94
  260,20120108,   84
  260,20120109,   95
  260,20120110,   93
  260,20120111,   90
  260,20120112,  105
  260,20120113,   75
  260,20120114,   73
  260,20120115,   66
  260,20120116,   48
  260,20120117,   61
  260,20120118,   62
  260,20120119,   81
  260,20120120,   68
  260,20120121,  109
  260,20120122,   99
  260,20120123,   80
  260,20120124,   59
  260,20120125,   52
  260,20120126,   62
  260,20120127,   80
  260,20120128,   68
  260,20120129,    8
  260,20120130,  -12
  260,20120131,  -11
  260,20120201,  -13
  260,20120202,  -35
  260,20120203,  -51
  260,20120204,  -45
  260,20120205,  -51
  260,20120206,  -33
  260,20120207,  -37
  260,20120208,   -9
  260,20120209,    5
  260,20120210,  -21
  260,20120211,  -30
  260,20120212,   -5
  260,20120213,   50
  260,20120214,   59
  260,20120215,   68
  260,20120216,   75
  260,20120217,   95
  260,20120218,   91
  260,20120219,   60
  260,20120220,   64
  260,20120221,   93
  260,20120222,   90
  260,20120223,  129
  260,20120224,   99
  260,20120225,  103
  260,20120226,   96
  260,20120227,   82
  260,20120228,   98
  260,20120229,   95
  260,20120301,  101
  260,20120302,  131
  260,20120303,  125
  260,20120304,  113
