Title,Ranking,Genre,Actors,Runtime
Breaking Bad,1.,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn"
Game of Thrones,2.,"Adventure, Drama, Fantasy","Emilia Clarke, Peter Dinklage, Kit Harington"
The Wire,3.,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn"
Rick and Morty,4.,"Animation, Adventure, Comedy, Sci-Fi","Justin Roiland, Chris Parnell, Spencer Grammer"
Sherlock,5.,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs"
The Sopranos,6.,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco"
Last Week Tonight with John Oliver,7.,"Comedy, News, Talk-Show","John Oliver, David Kaye, Noel MacNeal"
True Detective,8.,"Crime, Drama, Mystery, Thriller","Vince Vaughn, Colin Farrell, Rachel McAdams"
Avatar: The Last Airbender,9.,"Animation, Action, Adventure, Family, Fantasy, Mystery","Zach Tyler, Dee Bradley Baker, Mae Whitman"
Leyla ile Mecnun,10.,"Adventure, Comedy, Drama, Fantasy, Mystery, Romance","Ali Atay, Cengiz Bozkurt, Serkan Keskin"
Firefly,11.,"Adventure, Drama, Sci-Fi","Nathan Fillion, Gina Torres, Alan Tudyk"
Hagane no renkinjutsushi,12.,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi","Kent Williams, Iemasa Kayumi, Vic Mignogna"
Narcos,13.,"Biography, Crime, Drama","Wagner Moura, Boyd Holbrook, Pedro Pascal"
Arrested Development,14.,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi"
House of Cards,15.,Drama,"Kevin Spacey, Michel Gill, Robin Wright"
Batman: The Animated Series,16.,"Animation, Action, Adventure, Crime, Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller","Kevin Conroy, Loren Lester, Efrem Zimbalist Jr."
Kaub&#xF4;i bibappu: Cowboy Bebop,17.,"Animation, Action, Adventure, Drama, Sci-Fi, Thriller","Kunihiro Mori, Ikurô Satô, Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara"
